X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost,GlobalID
1748728.9926,5427571.301,109727,Bond St,ChargeNet NZ,ChargeNet NZ,"25 Bond St, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.289609,174.776206,AC,2019/02/20 00:00:00+00,2,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{DEEBD852-CB55-4EB1-9D67-B664EA67A87D}
1749281.8741,5427358.2652,109728,Barnett St Carpark,ChargeNet NZ,Contact Energy Ltd,"Barnett Street, Wellington 6011, New Zealand",True,1,False,Unlimited,False,-41.291425,174.782858,DC,2018/08/27 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True,{0D560379-3CD9-4A2B-B84B-645C42DE7847}
1747246.0196,5427007.0619,109729,Holloway Rd,ChargeNet NZ,ChargeNet NZ,"Holloway Rd, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.294961,174.75864,AC,2019/11/12 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{7A24D1BC-8747-47C1-92D9-ACAE65253EF8}
1747822.965,5426762.6611,109730,Epuni St,ChargeNet NZ,ChargeNet NZ,"Epuni St, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.297056,174.765587,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{1A69565E-0D67-40A4-8BB5-73B0A28A342E}
1749603.4405,5426530.8508,109731,Austin St,ChargeNet NZ,ChargeNet NZ,"Austin St, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.298815,174.7869,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{5A1E02BB-CDC6-4F59-8FC0-E3375C5F089C}
1747319.8153,5426292.2893,109732,Karepa St,ChargeNet NZ,ChargeNet NZ,"Karepa St, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.301383,174.759694,AC,2019/11/20 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{9166DCF0-CC5D-4CB9-9B87-18A19C5C220C}
1752710.7587,5426075.4563,109733,Miramar North Rd,ChargeNet NZ,ChargeNet NZ,"Miramar North Rd, Wellington 6022, NZ",True,1,False,Unlimited,False,-41.302333,174.824111,AC,2019/11/18 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{CA01BEAF-4879-448C-BD9F-B832091C6CBF}
1748502.1996,5425627.6842,109734,Wright St,ChargeNet NZ,ChargeNet NZ,"Wright St, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.30715,174.773973,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{85EBB338-79D7-4EAE-A15B-26B479A5B220}
1749444.4361,5425409.9897,109735,North Coromandel St,ChargeNet NZ,ChargeNet NZ,"9 Coromandel St, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.308936,174.785277,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{EDB99710-B1EB-4A63-BD79-6CF2E5021200}
1748793.483,5425239.3127,109736,Hall St,ChargeNet NZ,ChargeNet NZ,"Hall St, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.310593,174.777546,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{0EE015A6-AC17-4DF6-892A-DD550DE8CAF0}
1749508.9562,5425102.4431,109737,South Coromandel St,ChargeNet NZ,ChargeNet NZ,"66 Coromandel St, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.311693,174.786123,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{39A7707C-37B3-4560-BDDC-B40E0B196319}
1750415.9656,5424336.6556,109738,Kilbirnie,ChargeNet NZ,ChargeNet NZ,"78 Rongotai Rd, Wellington 6022, New Zealand",True,1,False,Unlimited,False,-41.318419,174.797143,DC,2019/10/30 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True,{7E1B7776-0295-40AA-8282-F4B2C6896DD1}
1749391.8254,5424257.1703,109739,Wellington Zoo,ChargeNet NZ,ChargeNet NZ,"Manchester Street, Wellington 6021, New Zealand",True,1,False,Unlimited,False,-41.319325,174.784932,DC,2019/07/24 00:00:00+00,4,"{DC, 25 kW, Type 2 CCS, Status: Inoperative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Unknown, Count:1},{DC, 25 kW, CHAdeMO, Status: Unknown, Count:1}",True,{A177F293-7824-4DCF-8630-D4C7D441D2FE}
