Region,is24Hours,carParkCount,hasCarparkCost,invHourLim,hasTouristAttraction,currentType,numberOfConnectors,hasChargingCost
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Waikato,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,TRUE,0,FALSE,DC,6,TRUE
Bay of Plenty,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Waikato,TRUE,1,FALSE,0,FALSE,Mixed,4,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,6,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
